item,text,image_file
dog,dog,images/dog.png
cat,cat,images/cat.png
car,car,images/car.png
bird,bird,images/bird.png
cow,cow,images/cow.png
frog,frog,images/frog.png
gun,gun,images/gun.png
motorcycle,motorcycle,images/motorcycle.png
rooster,rooster,images/rooster.png
train,train,images/train.png
whistle,whistle,images/whistle.png
scissors,scissors,images/scissors.png
baby,baby,images/baby.png
bell,bell,images/bell.png
owl,owl,images/owl.png
sheep,sheep,images/sheep.png
goat,goat,images/goat.png
snake,snake,images/snake.png
chicken,chicken,images/chicken.png
cricket,cricket,images/cricket.png
hammer,hammer,images/hammer.png
duck,duck,images/duck.png
clock,clock,images/clock.png
keyboard,keyboard,images/keyboard.png
